    end of RCAS, DRT ..........
               25             25
          25        25
          26        37
          27        58
          28        90
          29       127
          30       164
          31       189
          32       204
          33       211
       J    K   A  B  JM   J0   J1   J2   J3         Y1            Y2      Y3         X   IND
      72   28   4  1  1   108  109  111  112          9        29        55       115  0 2 0 0 0 0 0 0
      73   28   4  0  2   109    0  112  113          0        20        80       135  0 3 0 0 0 0 0 0
      74   28   3  3  1   110  111  114  115          4        30        36        70  0 2 0 0 0 0 0 0
      75   28   3  2  2   111  112  115  116         26        86       120       195  0 3 0 0 0 0 0 0
      76   28   3  1  1   112  113  116  117         60       115       190       269  0 4 0 0 0 0 0 0
      77   28   3  0  2   113    0  117  118          0        55       134       170  0 5 0 0 0 0 0 0
      78   28   2  4  2   114  115  119  120          6        40        44        65  0 3 0 0 0 0 0 0
      79   28   2  3  1   115  116  120  121         34       109       130       174  0 4 0 0 0 0 0 0
      80   28   2  2  2   116  117  121  122         75       154       198       244  0 5 0 0 0 0 0 0
      81   28   2  1  1   117  118  122  123         79       115       161       185  0 6 0 0 0 0 0 0
      82   28   5  2  1     0    0    0  124          0         0         0         1  0 0 0 0 0 0 0 0
      83   28   5  1  2     0   91  124   92          0         1         2        11  0 1 0 0 0 0 0 0
      84   28   4  3  2     0  124    0  125          0         0         1         5  0 1 0 0 0 0 0 0
      85   28   4  2  1   124   92  125   94          1        10        14        40  0 2 0 0 0 0 0 0
      86   28   3  4  1     0  125    0  126          0         0         4        10  0 2 0 0 0 0 0 0
      87   28   3  3  2   125   94  126   97          4        30        36        70  0 3 0 0 0 0 0 0
      88   28   2  5  2     0  126    0  127          0         0         6        10  0 3 0 0 0 0 0 0
      89   28   2  4  1   126   97  127  101          6        40        44        65  0 4 0 0 0 0 0 0
      90   28   6  0  1     0    0    0   91          0         0         0         1  0 0 0 0 0 0 0 0
      91   29   5  0  1     0    0    0  128          0         0         0         1  0 0 0 0 0 0 0 0
      92   29   4  1  2     0  128  129  130          0         1         2         9  0 1 0 0 0 0 0 0
      93   29   4  0  1   128    0  130  131          0         1         8        21  0 2 0 0 0 0 0 0
      94   29   3  2  1   129  130  132  133          1         8        11        26  0 2 0 0 0 0 0 0
      95   29   3  1  2   130  131  133  134          7        20        35        64  0 3 0 0 0 0 0 0
      96   29   3  0  1   131    0  134  135          0        13        42        65  0 4 0 0 0 0 0 0
      97   29   2  3  2   132  133  136  137          3        18        21        34  0 3 0 0 0 0 0 0
      98   29   2  2  1   133  134  137  138         15        44        57        81  0 4 0 0 0 0 0 0
      99   29   2  1  2   134  135  138  139         29        52        76        99  0 5 0 0 0 0 0 0
     100   29   2  0  1   135    0  139  140          0        23        46        56  0 6 0 0 0 0 0 0
     101   29   1  4  1   136  137  141  142          3        16        17        21  0 4 0 0 0 0 0 0
     102   29   1  3  2   137  138  142  143         13        37        41        48  0 5 0 0 0 0 0 0
     103   29   1  2  1   138  139  143  144         24        47        54        61  0 6 0 0 0 0 0 0
     104   29   1  1  2   139  140  144  145         23        33        40        44  0 7 0 0 0 0 0 0
     105   29   1  0  1   140    0  145  146          0        10        14        15  0 8 0 0 0 0 0 0
     106   29   5  0  2     0    0    0  147          0         0         0         1  0 1 0 0 0 0 0 0
     107   29   4  2  2     0    0    0  148          0         0         0         1  0 1 0 0 0 0 0 0
     108   29   4  1  1     0  147  148  149          0         1         2         9  0 2 0 0 0 0 0 0
     109   29   4  0  2   147    0  149  150          0         1         8        20  0 3 0 0 0 0 0 0
     110   29   3  3  1     0  148    0  151          0         0         1         4  0 2 0 0 0 0 0 0
     111   29   3  2  2   148  149  151  152          1         8        11        26  0 3 0 0 0 0 0 0
     112   29   3  1  1   149  150  152  153          7        19        34        60  0 4 0 0 0 0 0 0
     113   29   3  0  2   150    0  153  154          0        12        38        55  0 5 0 0 0 0 0 0
     114   29   2  4  2     0  151    0  155          0         0         3         6  0 3 0 0 0 0 0 0
     115   29   2  3  1   151  152  155  156          3        18        21        34  0 4 0 0 0 0 0 0
     116   29   2  2  2   152  153  156  157         15        41        54        75  0 5 0 0 0 0 0 0
     117   29   2  1  1   153  154  157  158         26        43        64        79  0 6 0 0 0 0 0 0
     118   29   2  0  2   154    0  158  159          0        17        32        36  0 7 0 0 0 0 0 0
     119   29   1  5  1     0  155    0  160          0         0         3         4  0 4 0 0 0 0 0 0
     120   29   1  4  2   155  156  160  161          3        16        17        21  0 5 0 0 0 0 0 0
     121   29   1  3  1   156  157  161  162         13        34        38        44  0 6 0 0 0 0 0 0
     122   29   1  2  2   157  158  162  163         21        36        42        46  0 7 0 0 0 0 0 0
     123   29   1  1  1   158  159  163  164         15        19        23        24  0 8 0 0 0 0 0 0
     124   29   4  2  1     0    0    0  129          0         0         0         1  0 2 0 0 0 0 0 0
     125   29   3  3  2     0  129    0  132          0         0         1         4  0 3 0 0 0 0 0 0
     126   29   2  4  1     0  132    0  136          0         0         3         6  0 4 0 0 0 0 0 0
     127   29   1  5  2     0  136    0  141          0         0         3         4  0 5 0 0 0 0 0 0
     128   30   4  0  1     0    0    0  165          0         0         0         1  0 2 0 0 0 0 0 0
     129   30   3  2  1     0    0    0  166          0         0         0         1  0 2 0 0 0 0 0 0
     130   30   3  1  2     0  165  166  167          0         1         2         7  0 3 0 0 0 0 0 0
     131   30   3  0  1   165    0  167  168          0         1         6        13  0 4 0 0 0 0 0 0
     132   30   2  3  2     0  166    0  169          0         0         1         3  0 3 0 0 0 0 0 0
     133   30   2  2  1   166  167  169  170          1         6         8        15  0 4 0 0 0 0 0 0
     134   30   2  1  2   167  168  170  171          5        12        19        29  0 5 0 0 0 0 0 0
     135   30   2  0  1   168    0  171  172          0         7        17        23  0 6 0 0 0 0 0 0
     136   30   1  4  1     0  169    0  173          0         0         2         3  0 4 0 0 0 0 0 0
     137   30   1  3  2   169  170  173  174          2         9        10        13  0 5 0 0 0 0 0 0
     138   30   1  2  1   170  171  174  175          7        17        20        24  0 6 0 0 0 0 0 0
     139   30   1  1  2   171  172  175  176         10        16        20        23  0 7 0 0 0 0 0 0
     140   30   1  0  1   172    0  176  177          0         6         9        10  0 8 0 0 0 0 0 0
     141   30   0  5  2     0  173    0    0          0         0         0         1  0 5 0 0 0 0 0 0
     142   30   0  4  1   173  174    0    0          1         0         0         4  0 6 0 0 0 0 0 0
     143   30   0  3  2   174  175    0    0          3         0         0         7  0 7 0 0 0 0 0 0
     144   30   0  2  1   175  176    0    0          4         0         0         7  0 8 0 0 0 0 0 0
     145   30   0  1  2   176  177    0    0          3         0         0         4  0 9 0 0 0 0 0 0
     146   30   0  0  1   177    0    0    0          0         0         0         1  010 0 0 0 0 0 0
     147   30   4  0  2     0    0    0  178          0         0         0         1  0 3 0 0 0 0 0 0
     148   30   3  2  2     0    0    0  179          0         0         0         1  0 3 0 0 0 0 0 0
     149   30   3  1  1     0  178  179  180          0         1         2         7  0 4 0 0 0 0 0 0
     150   30   3  0  2   178    0  180  181          0         1         6        12  0 5 0 0 0 0 0 0
     151   30   2  3  1     0  179    0  182          0         0         1         3  0 4 0 0 0 0 0 0
